ID,Dut,Pad,CX,CY
168,3,35,-51846.3,66926.1
169,3,36,-51915.9,66927.7
170,3,37,-51988.4,66927
171,3,38,-52056.1,66927.7
172,3,39,-52125.6,66927.4
173,3,40,-52195.6,66926.7
174,3,42,-52338.5,66926.6
175,3,44,-52478.9,66925
176,3,46,-52616.1,66924.7
177,3,48,-52755.8,66929
178,3,50,-52898.5,66926.8
179,3,52,-53035.9,66925.7
180,3,54,-53176.3,66927
181,3,55,-53242.7,66927.6
182,3,56,-53310.7,66926.8
183,3,57,-53768.5,66927.6
184,3,58,-53832.6,66925.3
185,3,59,-53902,66926.9
186,3,60,-53972.5,66927.4
187,3,62,-54112.3,66929.9
188,3,63,-54174,66927.7
189,3,64,-54242.7,66927.9
190,3,66,-54381.7,66927.4
191,3,67,-54448,66926.6
192,3,69,-54583.9,66927.2
193,3,71,-54725.8,66927.3
194,3,72,-54791.2,66928
195,3,73,-54862.3,66924.4
196,3,74,-54926.5,66928.2
197,3,75,-54996.2,66928.1
198,3,77,-55130.6,66927.8
199,3,78,-55198.7,66928.2
200,3,79,-55270.6,66927.8
201,3,80,-55337,66926.2
202,3,81,-55403.8,66925.3
203,3,82,-55472.2,66926.7
204,3,83,-55541.8,66928.7
205,3,84,-55610.5,66925
206,3,85,-55678.3,66925.6
207,3,86,-55744.2,66928.7
208,3,87,-55814.5,66927.1
209,3,88,-55880.5,66926.9
210,3,89,-55949.8,66924.6
211,3,91,-56155.1,66927.9
212,3,92,-56222.6,66925.6
213,3,93,-56289.6,66927.9
214,3,94,-56223,67174
215,3,95,-56153.8,67177.4
216,3,96,-56085.7,67176.2
217,5,2,-42373,64009.3
218,5,3,-42440.6,64012.8
219,5,5,-42583.9,64012
220,5,7,-42723.8,64010.4
221,5,9,-42860.8,64010.4
222,5,11,-43001.6,64013.1
223,5,13,-43142.6,64011.1
224,5,15,-43283.7,64011.1
225,5,16,-43350.6,64013
226,5,17,-43420.2,64008.9
227,5,18,-43491.8,64011
228,5,20,-43634,64011.5
229,5,22,-43769.4,64013.8
230,5,24,-43911.8,64010.9
231,5,26,-44050.5,64010.3
232,5,27,-44121.2,64012.6
233,5,28,-44282.5,64009.1
234,5,29,-44351.6,64011.4
235,5,30,-44420.3,64010.2
236,5,31,-44489.7,64011.3
237,5,32,-44562.1,64010.6
238,5,33,-44631.5,64011.6
239,5,34,-44702.1,64010.5
240,5,35,-44768.2,64010.1
241,5,36,-44841.5,64010.2
242,5,37,-44912.8,64009.1
243,5,38,-44978,64012.5
244,5,39,-45048.1,64009.5
245,5,40,-45119.4,64010.3
246,5,42,-45262,64010.6
247,5,44,-45400,64012.4
248,5,46,-45538.9,64010.4
249,5,48,-45679.5,64009.4
250,5,50,-45820.8,64011.2
251,5,52,-45957.4,64012.3
252,5,54,-46100.7,64010.3
253,5,55,-46166.2,64009.1
254,5,56,-46233.4,64013
255,5,57,-46691.6,64010.3
256,5,58,-46759.5,64011.2
257,5,59,-46826.4,64010.7
258,5,60,-46893.3,64011.1
259,5,62,-47032,64011
260,5,63,-47097.8,64011.1
261,5,64,-47169.3,64008.6
262,5,66,-47304.7,64010.6
263,5,67,-47369.8,64010.8
264,5,69,-47506.6,64009.1
265,5,71,-47648.7,64011
266,5,72,-47714.3,64010.6
267,5,73,-47783.2,64009
268,5,74,-47850.8,64010.4
269,5,75,-47920.4,64010.9
270,5,77,-48057.7,64007.3
271,5,78,-48124.2,64010.2
272,5,79,-48194,64010.5
273,5,80,-48260.2,64011.2
274,5,81,-48329.4,64007.4
275,5,82,-48397.3,64008
276,5,83,-48465.1,64010.2
277,5,84,-48532.6,64011.4
278,5,85,-48598.6,64012.2
279,5,86,-48669,64007.7
280,5,87,-48738.2,64010.8
281,5,88,-48803.7,64012.1
282,5,89,-48872.9,64007.8
283,5,91,-49079.3,64010.5
284,5,92,-49145.6,64007.8
285,5,93,-49214.7,64010.4
286,5,94,-49146.3,64259.2
287,5,95,-49078,64262.4
288,5,96,-49008.9,64259.6
289,7,2,-49450,55258.7
290,7,3,-49515.5,55257.5
291,7,5,-49660.5,55257.7
292,7,7,-49798.5,55259.7
293,7,9,-49939,55258.4
294,7,11,-50077.7,55260
295,7,13,-50215.2,55261.4
296,7,15,-50360.7,55258
297,7,16,-50430.2,55259.7
298,7,17,-50499.3,55258.5
299,7,18,-50565.8,55261.6
300,7,20,-50711,55257.3
301,7,22,-50846.8,55260.1
302,7,24,-50987.4,55261.9
303,7,26,-51128,55260.4
304,7,27,-51197.6,55259.2
305,7,28,-51356.3,55261.9
306,7,29,-51425.9,55258.9
307,7,30,-51497.8,55259.8
308,7,31,-51566.9,55259.8
309,7,32,-51636,55260.5
310,7,33,-51708.7,55261.2
311,7,34,-51778.2,55259.4
312,7,35,-51846.4,55259.8
313,7,36,-51916.5,55259.9
314,7,37,-51984,55259.7
315,7,38,-52054.8,55259.3
316,7,39,-52128.3,55259.2
317,7,40,-52194.8,55261.9
318,7,42,-52339,55261.5
319,7,44,-52477.7,55259.5
320,7,46,-52617,55259.4
321,7,48,-52754.7,55262.6
322,7,50,-52899.7,55259.8
323,7,52,-53036.8,55258.8
324,7,54,-53175.4,55260.6
325,7,55,-53243.2,55259
326,7,56,-53309.6,55259
327,7,57,-53765.9,55259.4
328,7,58,-53833.9,55262
329,7,59,-53903.4,55258.7
330,7,60,-53971.1,55260.3
331,7,62,-54107.3,55261.4
332,7,63,-54173.9,55260.6
333,7,64,-54244.6,55260.6
334,7,66,-54376.5,55259.3
335,7,67,-54448.6,55259
336,7,69,-54584.2,55258.8
337,7,71,-54721.4,55259.6
338,7,72,-54792.2,55259
339,7,73,-54859.9,55259.8
340,7,74,-54926.7,55261.6
341,7,75,-54998.6,55256.5
342,7,77,-55132.9,55260
343,7,78,-55199.7,55259.4
344,7,79,-55270.2,55256.8
345,7,80,-55336.6,55259.5
346,7,81,-55403.7,55259.3
347,7,82,-55473.1,55262.5
348,7,83,-55537.6,55259.1
349,7,84,-55608.5,55259.1
350,7,85,-55677.4,55259.9
351,7,86,-55744.9,55262
352,7,87,-55813.6,55257.7
353,7,88,-55879.9,55258.3
354,7,89,-55949.3,55259.5
355,7,91,-56154.4,55258.5
356,7,92,-56222.6,55258.5
357,7,93,-56289.9,55259
358,7,94,-56223.3,55507.5
359,7,95,-56154,55509.8
